amfi_code,date,date_key,nav,is_forward_filled
100016,2022-01-03,20220103,520.4608,False
100016,2022-01-04,20220104,515.0971,False
100016,2022-01-05,20220105,521.7239,False
100016,2022-01-06,20220106,515.788,False
100016,2022-01-07,20220107,515.1639,False
100016,2022-01-08,20220108,515.1639,True
100016,2022-01-09,20220109,515.1639,True
100016,2022-01-10,20220110,510.7136,False
100016,2022-01-11,20220111,513.5542,False
100016,2022-01-12,20220112,512.3195,False
100016,2022-01-13,20220113,510.2445,False
100016,2022-01-14,20220114,514.3636,False
100016,2022-01-15,20220115,514.3636,True
100016,2022-01-16,20220116,514.3636,True
100016,2022-01-17,20220117,514.7627,False
100016,2022-01-18,20220118,517.3803,False
100016,2022-01-19,20220119,513.1866,False
100016,2022-01-20,20220120,507.1294,False
100016,2022-01-21,20220121,507.871,False
100016,2022-01-22,20220122,507.871,True
100016,2022-01-23,20220123,507.871,True
100016,2022-01-24,20220124,506.7062,False
100016,2022-01-25,20220125,509.7762,False
100016,2022-01-26,20220126,509.68,False
100016,2022-01-27,20220127,510.8661,False
100016,2022-01-28,20220128,503.8641,False
100016,2022-01-29,20220129,503.8641,True
100016,2022-01-30,20220130,503.8641,True
100016,2022-01-31,20220131,512.5903,False
100016,2022-02-01,20220201,512.1124,False
100016,2022-02-02,20220202,515.5386,False
100016,2022-02-03,20220203,512.0153,False
100016,2022-02-04,20220204,513.6729,False
100016,2022-02-05,20220205,513.6729,True
100016,2022-02-06,20220206,513.6729,True
100016,2022-02-07,20220207,508.0666,False
100016,2022-02-08,20220208,510.3595,False
100016,2022-02-09,20220209,509.0223,False
100016,2022-02-10,20220210,509.4161,False
100016,2022-02-11,20220211,512.826,False
100016,2022-02-12,20220212,512.826,True
100016,2022-02-13,20220213,512.826,True
100016,2022-02-14,20220214,507.5435,False
100016,2022-02-15,20220215,504.7492,False
100016,2022-02-16,20220216,507.0506,False
100016,2022-02-17,20220217,516.7872,False
100016,2022-02-18,20220218,516.4246,False
100016,2022-02-19,20220219,516.4246,True
100016,2022-02-20,20220220,516.4246,True
100016,2022-02-21,20220221,519.3918,False
100016,2022-02-22,20220222,519.1698,False
100016,2022-02-23,20220223,528.4118,False
100016,2022-02-24,20220224,520.6004,False
100016,2022-02-25,20220225,521.3038,False
100016,2022-02-26,20220226,521.3038,True
100016,2022-02-27,20220227,521.3038,True
100016,2022-02-28,20220228,514.1489,False
100016,2022-03-01,20220301,503.1674,False
100016,2022-03-02,20220302,504.7495,False
100016,2022-03-03,20220303,505.6316,False
100016,2022-03-04,20220304,504.6233,False
100016,2022-03-05,20220305,504.6233,True
100016,2022-03-06,20220306,504.6233,True
100016,2022-03-07,20220307,504.411,False
100016,2022-03-08,20220308,518.6513,False
100016,2022-03-09,20220309,517.7387,False
100016,2022-03-10,20220310,520.3416,False
100016,2022-03-11,20220311,517.6372,False
100016,2022-03-12,20220312,517.6372,True
100016,2022-03-13,20220313,517.6372,True
100016,2022-03-14,20220314,519.2545,False
100016,2022-03-15,20220315,518.432,False
100016,2022-03-16,20220316,516.825,False
100016,2022-03-17,20220317,525.4534,False
100016,2022-03-18,20220318,531.2109,False
100016,2022-03-19,20220319,531.2109,True
100016,2022-03-20,20220320,531.2109,True
100016,2022-03-21,20220321,532.1264,False
100016,2022-03-22,20220322,521.6911,False
100016,2022-03-23,20220323,520.3011,False
100016,2022-03-24,20220324,533.1283,False
100016,2022-03-25,20220325,532.3194,False
100016,2022-03-26,20220326,532.3194,True
100016,2022-03-27,20220327,532.3194,True
100016,2022-03-28,20220328,537.8012,False
100016,2022-03-29,20220329,544.965,False
100016,2022-03-30,20220330,546.3002,False
100016,2022-03-31,20220331,542.5392,False
100016,2022-04-01,20220401,531.285,False
100016,2022-04-02,20220402,531.285,True
100016,2022-04-03,20220403,531.285,True
100016,2022-04-04,20220404,534.7762,False
100016,2022-04-05,20220405,531.2213,False
100016,2022-04-06,20220406,532.3217,False
100016,2022-04-07,20220407,526.7582,False
100016,2022-04-08,20220408,525.7986,False
100016,2022-04-09,20220409,525.7986,True
100016,2022-04-10,20220410,525.7986,True
100016,2022-04-11,20220411,526.2264,False
100016,2022-04-12,20220412,527.7466,False
100016,2022-04-13,20220413,522.8529,False
100016,2022-04-14,20220414,528.6739,False
100016,2022-04-15,20220415,526.1696,False
100016,2022-04-16,20220416,526.1696,True
100016,2022-04-17,20220417,526.1696,True
100016,2022-04-18,20220418,518.7241,False
100016,2022-04-19,20220419,518.493,False
100016,2022-04-20,20220420,518.9178,False
100016,2022-04-21,20220421,519.9214,False
100016,2022-04-22,20220422,526.4763,False
100016,2022-04-23,20220423,526.4763,True
100016,2022-04-24,20220424,526.4763,True
100016,2022-04-25,20220425,525.6507,False
100016,2022-04-26,20220426,525.3674,False
100016,2022-04-27,20220427,520.5493,False
100016,2022-04-28,20220428,524.6005,False
100016,2022-04-29,20220429,525.7251,False
100016,2022-04-30,20220430,525.7251,True
100016,2022-05-01,20220501,525.7251,True
100016,2022-05-02,20220502,524.0515,False
100016,2022-05-03,20220503,515.5881,False
100016,2022-05-04,20220504,522.4674,False
100016,2022-05-05,20220505,517.1078,False
100016,2022-05-06,20220506,514.6837,False
100016,2022-05-07,20220507,514.6837,True
100016,2022-05-08,20220508,514.6837,True
100016,2022-05-09,20220509,516.5793,False
100016,2022-05-10,20220510,511.4204,False
100016,2022-05-11,20220511,504.9889,False
100016,2022-05-12,20220512,495.8735,False
100016,2022-05-13,20220513,499.2941,False
100016,2022-05-14,20220514,499.2941,True
100016,2022-05-15,20220515,499.2941,True
100016,2022-05-16,20220516,497.1556,False
100016,2022-05-17,20220517,510.4206,False
100016,2022-05-18,20220518,506.2251,False
100016,2022-05-19,20220519,502.3871,False
100016,2022-05-20,20220520,500.1462,False
100016,2022-05-21,20220521,500.1462,True
100016,2022-05-22,20220522,500.1462,True
100016,2022-05-23,20220523,501.4785,False
100016,2022-05-24,20220524,499.6609,False
100016,2022-05-25,20220525,502.6257,False
100016,2022-05-26,20220526,498.5637,False
100016,2022-05-27,20220527,492.78,False
100016,2022-05-28,20220528,492.78,True
100016,2022-05-29,20220529,492.78,True
100016,2022-05-30,20220530,485.277,False
100016,2022-05-31,20220531,476.0989,False
100016,2022-06-01,20220601,474.1732,False
100016,2022-06-02,20220602,473.1602,False
100016,2022-06-03,20220603,470.7754,False
100016,2022-06-04,20220604,470.7754,True
100016,2022-06-05,20220605,470.7754,True
100016,2022-06-06,20220606,476.2119,False
100016,2022-06-07,20220607,481.6458,False
100016,2022-06-08,20220608,480.4735,False
100016,2022-06-09,20220609,473.1759,False
100016,2022-06-10,20220610,471.0598,False
100016,2022-06-11,20220611,471.0598,True
100016,2022-06-12,20220612,471.0598,True
100016,2022-06-13,20220613,468.8163,False
100016,2022-06-14,20220614,466.3477,False
100016,2022-06-15,20220615,463.7261,False
100016,2022-06-16,20220616,461.2993,False
100016,2022-06-17,20220617,459.9666,False
100016,2022-06-18,20220618,459.9666,True
100016,2022-06-19,20220619,459.9666,True
100016,2022-06-20,20220620,457.6317,False
100016,2022-06-21,20220621,458.7099,False
100016,2022-06-22,20220622,460.4075,False
100016,2022-06-23,20220623,456.9604,False
100016,2022-06-24,20220624,462.3501,False
100016,2022-06-25,20220625,462.3501,True
100016,2022-06-26,20220626,462.3501,True
100016,2022-06-27,20220627,458.6076,False
100016,2022-06-28,20220628,452.344,False
100016,2022-06-29,20220629,454.0998,False
100016,2022-06-30,20220630,451.0707,False
100016,2022-07-01,20220701,452.584,False
100016,2022-07-02,20220702,452.584,True
100016,2022-07-03,20220703,452.584,True
100016,2022-07-04,20220704,443.3196,False
100016,2022-07-05,20220705,449.0289,False
100016,2022-07-06,20220706,451.9322,False
100016,2022-07-07,20220707,446.2213,False
